Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin,Medicago,Sanofi/GSK,SKYCovione,Valneva
Argentina,ARG,2021-03-06,19,4,462748,0,1115864,0,196888,4,0,0,0,0,0,0
Argentina,ARG,2021-03-07,19,4,467724,0,1116241,0,203333,4,0,0,0,0,0,0
Argentina,ARG,2021-03-08,20,4,499307,0,1134227,0,256285,4,0,0,0,0,0,0
Argentina,ARG,2021-03-09,20,4,515653,0,1170592,0,319403,4,0,0,0,0,0,0
Argentina,ARG,2021-03-10,20,4,527742,0,1223770,0,418153,4,0,0,0,0,0,0
Argentina,ARG,2021-03-11,20,4,537687,0,1315845,0,503049,4,0,0,0,0,0,0
Argentina,ARG,2021-03-12,20,4,545211,0,1408867,0,564200,4,0,0,0,0,0,0
Argentina,ARG,2021-03-13,20,4,548190,0,1441781,0,574707,4,0,0,0,0,0,0
Argentina,ARG,2021-03-14,20,4,548239,0,1444248,0,581365,4,0,0,0,0,0,0
Argentina,ARG,2021-03-15,20,4,554663,0,1534852,0,621989,4,0,0,0,0,0,0
Argentina,ARG,2021-03-16,20,4,557783,0,1630811,0,656669,4,0,0,0,0,0,0
Argentina,ARG,2021-03-17,20,4,560496,0,1744741,0,679650,4,0,0,0,0,0,0
Argentina,ARG,2021-03-18,20,6,562185,0,1859885,0,701803,4,0,0,0,0,0,0
Argentina,ARG,2021-03-19,21,6,564034,0,1960649,0,725412,4,0,0,0,0,0,0
Argentina,ARG,2021-03-20,21,6,564376,0,2007258,0,729352,4,0,0,0,0,0,0
Argentina,ARG,2021-03-21,21,6,564399,0,2026520,0,729701,5,0,0,0,0,0,0
Argentina,ARG,2021-03-22,21,6,565871,0,2090730,0,747103,5,0,0,0,0,0,0
Argentina,ARG,2021-03-23,21,6,570561,0,2178987,0,760663,5,0,0,0,0,0,0
Argentina,ARG,2021-03-24,21,6,571839,0,2212036,0,763805,5,0,0,0,0,0,0
Argentina,ARG,2021-03-25,21,6,573194,0,2302992,0,774710,5,0,0,0,0,0,0
Argentina,ARG,2021-03-26,21,6,575850,0,2384750,0,783887,5,0,0,0,0,0,0
Argentina,ARG,2021-03-27,21,7,576744,0,2436656,0,786195,5,0,0,0,0,0,0
Argentina,ARG,2021-03-28,23,7,577651,0,2456107,0,786670,5,0,0,0,0,0,0
Argentina,ARG,2021-03-29,24,7,581243,0,2561228,0,798176,5,0,0,0,0,0,0
Argentina,ARG,2021-03-30,25,7,584126,0,2710913,0,808676,5,0,0,0,0,0,0
Argentina,ARG,2021-03-31,25,7,604074,0,2853946,0,820692,5,0,0,0,0,0,0
Argentina,ARG,2021-04-01,25,7,629649,0,2941773,0,824455,5,0,0,0,0,0,0
Argentina,ARG,2021-04-02,25,7,642473,0,2994796,0,826777,5,0,0,0,0,0,0
Argentina,ARG,2021-04-03,25,7,661116,0,3049544,0,827868,5,0,0,0,0,0,0
Argentina,ARG,2021-04-04,25,8,675513,0,3081980,0,829532,5,0,0,0,0,0,0
Argentina,ARG,2021-04-05,25,8,709353,0,3185040,0,858666,5,0,0,0,0,0,0
Argentina,ARG,2021-04-06,25,8,735818,0,3277462,0,933824,5,0,0,0,0,0,0
Argentina,ARG,2021-04-07,25,8,766058,0,3367371,0,1052147,5,0,0,0,0,0,0
Argentina,ARG,2021-04-08,28,8,790155,0,3448967,0,1182460,5,0,0,0,0,0,0
Argentina,ARG,2021-04-09,28,8,808511,0,3523457,0,1330054,5,0,0,0,0,0,0
Argentina,ARG,2021-04-10,28,8,813329,0,3557603,0,1384048,5,0,0,0,0,0,0
Argentina,ARG,2021-04-11,28,8,814195,0,3572198,0,1416905,5,0,0,0,0,0,0
Argentina,ARG,2021-04-12,28,8,824111,0,3648767,0,1512268,5,0,0,0,0,0,0
Argentina,ARG,2021-04-13,28,9,832457,0,3744033,0,1594764,5,0,0,0,0,0,0
Argentina,ARG,2021-04-14,29,9,838902,0,3841925,0,1662151,5,0,0,0,0,0,0
Argentina,ARG,2021-04-15,29,9,843102,0,3937674,0,1713339,5,0,0,0,0,0,0
Argentina,ARG,2021-04-16,29,9,846387,0,4012023,0,1759454,5,0,0,0,0,0,0
Argentina,ARG,2021-04-17,29,9,847281,0,4040738,0,1775573,5,0,0,0,0,0,0
Argentina,ARG,2021-04-18,29,9,848556,0,4057107,0,1777836,5,0,0,0,0,0,0
Argentina,ARG,2021-04-19,30,9,863955,0,4107250,0,1802803,5,0,0,0,0,0,0
Argentina,ARG,2021-04-20,30,9,916496,0,4153425,0,1826846,5,0,0,0,0,0,0
Argentina,ARG,2021-04-21,30,10,1036791,0,4185915,0,1848068,6,0,0,0,0,0,0
Argentina,ARG,2021-04-22,30,10,1154122,0,4231258,0,1863635,7,0,0,0,0,0,0
Argentina,ARG,2021-04-23,30,10,1272464,0,4293417,0,1877737,7,0,0,0,0,0,0
Argentina,ARG,2021-04-24,30,10,1326329,0,4330221,0,1879309,7,0,0,0,0,0,0
Argentina,ARG,2021-04-25,30,10,1358789,0,4346709,0,1879684,7,0,0,0,0,0,0
Argentina,ARG,2021-04-26,31,10,1431905,0,4438184,0,1887253,7,0,0,0,0,0,0
Argentina,ARG,2021-04-27,32,10,1491037,0,4525473,0,1894613,7,0,0,0,0,0,0
